Category,Statistic,Value,Description
System,Fetch Date,2026-01-06 02:28:20,Data retrieved on 2026-01-06 02:28:20.
Production,Season Points,74,Nathan MacKinnon has accumulated 74 points in 41 games.
Production,Points Per Game,1.8,Currently performing at a pace of 1.8 points per game.
Skating,Top Skating Speed,23.057 mph,Maximum speed recorded at 23.057 mph (Ranked in the 90.9th percentile).
Skating,Speed Bursts (>20 mph),230,The player has recorded 230 individual skating bursts exceeding 20 mph.
Skating,Total Distance Skated,142.2535 mi,The cumulative distance skated throughout the season is 142.2535 miles.
Shooting,Hardest Shot,88.49 mph,The highest recorded shot velocity reached 88.49 mph.
Shooting,High Danger Goals,12,Scored 12 goals from high-danger areas (crease and low slot) out of 44 attempts.
Possession,Offensive Zone Time,46.8%,The team maintains puck possession in the offensive zone during 46.8% of the player's ice time.
